order_id,order_date,shipment_date,shipment_mode,city,order_year,order_month,order_day
CA-2015-103744,2015-02-23,2015-02-27,Standard Class,El Paso,2015,2,23
CA-2015-103800,2015-01-03,2015-01-07,Standard Class,Houston,2015,1,3
CA-2015-103807,2015-12-02,2015-12-09,Standard Class,Sandy Springs,2015,12,2
CA-2015-103849,2015-05-11,2015-05-16,Standard Class,Fort Worth,2015,5,11
CA-2015-103940,2015-09-17,2015-09-21,Standard Class,Seattle,2015,9,17
CA-2015-103989,2015-03-19,2015-03-21,First Class,Lakeland,2015,3,19
CA-2015-104178,2015-08-25,2015-08-29,Standard Class,Los Angeles,2015,8,25
CA-2015-104269,2015-03-01,2015-03-06,Second Class,Seattle,2015,3,1
CA-2015-104283,2015-06-27,2015-07-01,Standard Class,Southaven,2015,6,27
CA-2015-104402,2015-06-17,2015-06-23,Standard Class,Newark,2015,6,17
CA-2015-104472,2015-06-02,2015-06-07,Standard Class,Orem,2015,6,2
CA-2015-104563,2015-03-07,2015-03-12,Standard Class,Seattle,2015,3,7
CA-2015-104738,2015-12-30,2016-01-01,Second Class,Laredo,2015,12,30
CA-2015-104773,2015-12-08,2015-12-13,Standard Class,Houston,2015,12,8
CA-2015-104780,2015-05-21,2015-05-25,Standard Class,San Diego,2015,5,21
CA-2015-104808,2015-02-04,2015-02-08,Second Class,Escondido,2015,2,4
CA-2015-104829,2015-11-18,2015-11-21,Second Class,Provo,2015,11,18
CA-2015-104976,2015-12-09,2015-12-16,Standard Class,San Francisco,2015,12,9
CA-2015-105165,2015-09-07,2015-09-10,First Class,Houston,2015,9,7
CA-2015-105172,2015-04-04,2015-04-09,Standard Class,San Francisco,2015,4,4
CA-2015-105249,2015-11-28,2015-11-28,Same Day,San Francisco,2015,11,28
CA-2015-105270,2015-11-11,2015-11-18,Standard Class,Los Angeles,2015,11,11
CA-2015-105340,2015-11-22,2015-11-25,First Class,Pasadena,2015,11,22
CA-2015-105417,2015-01-07,2015-01-12,Standard Class,Huntsville,2015,1,7
CA-2015-105648,2015-03-03,2015-03-07,Standard Class,San Diego,2015,3,3
CA-2015-105872,2015-05-30,2015-06-06,Standard Class,New York City,2015,5,30
CA-2015-105893,2015-11-11,2015-11-18,Standard Class,Madison,2015,11,11
CA-2015-105984,2015-11-24,2015-11-24,Same Day,Columbus,2015,11,24
CA-2015-106054,2015-01-06,2015-01-07,First Class,Athens,2015,1,6
CA-2015-106229,2015-06-07,2015-06-11,Second Class,Aurora,2015,6,7
CA-2015-106264,2015-12-26,2015-12-30,Standard Class,San Diego,2015,12,26
CA-2015-106376,2015-12-05,2015-12-10,Standard Class,Gilbert,2015,12,5
CA-2015-106439,2015-10-31,2015-11-04,Standard Class,Los Angeles,2015,10,31
CA-2015-106572,2015-09-05,2015-09-10,Standard Class,Bowling Green,2015,9,5
CA-2015-106719,2015-08-24,2015-08-24,Same Day,Billings,2015,8,24
CA-2015-106726,2015-12-06,2015-12-08,First Class,Los Angeles,2015,12,6
CA-2015-106803,2015-12-29,2016-01-02,Standard Class,Cottage Grove,2015,12,29
CA-2015-106810,2015-05-14,2015-05-20,Standard Class,Saint Petersburg,2015,5,14
CA-2015-106971,2015-09-02,2015-09-08,Standard Class,Buffalo Grove,2015,9,2
CA-2015-107139,2015-07-05,2015-07-11,Standard Class,Los Angeles,2015,7,5
CA-2015-107153,2015-09-28,2015-10-03,Standard Class,Lawrence,2015,9,28
CA-2015-107181,2015-02-04,2015-02-08,Standard Class,San Diego,2015,2,4
CA-2015-107398,2015-08-25,2015-08-30,Standard Class,Columbus,2015,8,25
CA-2015-107454,2015-11-02,2015-11-06,Standard Class,New York City,2015,11,2
CA-2015-107524,2015-03-02,2015-03-08,Standard Class,New York City,2015,3,2
CA-2015-107573,2015-12-12,2015-12-17,Standard Class,Miami,2015,12,12
CA-2015-107594,2015-07-02,2015-07-06,Standard Class,Plainfield,2015,7,2
CA-2015-107706,2015-02-14,2015-02-19,Second Class,Houston,2015,2,14
CA-2015-107755,2015-02-07,2015-02-12,Standard Class,Linden,2015,2,7
CA-2015-107769,2015-10-28,2015-11-01,Standard Class,Garden City,2015,10,28
CA-2015-107811,2015-04-29,2015-05-03,Standard Class,Memphis,2015,4,29
CA-2015-107818,2015-09-08,2015-09-14,Standard Class,Pasco,2015,9,8
CA-2015-107916,2015-08-24,2015-08-26,First Class,Oceanside,2015,8,24
CA-2015-108147,2015-06-08,2015-06-13,Standard Class,Long Beach,2015,6,8
CA-2015-108182,2015-02-06,2015-02-10,Second Class,Romeoville,2015,2,6
CA-2015-108189,2015-10-02,2015-10-05,First Class,Tempe,2015,10,2
CA-2015-108273,2015-12-16,2015-12-21,Standard Class,Huntsville,2015,12,16
CA-2015-108609,2015-10-31,2015-11-02,Second Class,Lorain,2015,10,31
CA-2015-108707,2015-10-24,2015-10-29,Standard Class,Fort Lauderdale,2015,10,24
CA-2015-108861,2015-05-28,2015-06-01,Standard Class,Seattle,2015,5,28
CA-2015-108903,2015-10-03,2015-10-03,Same Day,Columbus,2015,10,3
CA-2015-109043,2015-08-15,2015-08-17,First Class,Hollywood,2015,8,15
CA-2015-109127,2015-12-21,2015-12-25,Standard Class,Newark,2015,12,21
CA-2015-109134,2015-11-05,2015-11-10,Standard Class,Los Angeles,2015,11,5
CA-2015-109218,2015-06-30,2015-07-03,Second Class,Los Angeles,2015,6,30
CA-2015-109232,2015-01-13,2015-01-16,Second Class,Mount Pleasant,2015,1,13
CA-2015-109302,2015-08-12,2015-08-16,Standard Class,Lakewood,2015,8,12
CA-2015-109491,2015-02-20,2015-02-26,Standard Class,Richmond,2015,2,20
CA-2015-109680,2015-10-06,2015-10-09,First Class,Indianapolis,2015,10,6
CA-2015-109855,2015-09-01,2015-09-05,Standard Class,New York City,2015,9,1
CA-2015-109890,2015-07-21,2015-07-27,Standard Class,Omaha,2015,7,21
CA-2015-109897,2015-08-12,2015-08-16,Standard Class,San Francisco,2015,8,12
CA-2015-109904,2015-07-14,2015-07-17,Second Class,New York City,2015,7,14
CA-2015-109918,2015-09-07,2015-09-12,Second Class,Santa Clara,2015,9,7
CA-2015-109932,2015-12-09,2015-12-11,First Class,Brownsville,2015,12,9
CA-2015-110030,2015-12-06,2015-12-08,Second Class,Houston,2015,12,6
CA-2015-110065,2015-08-05,2015-08-11,Standard Class,New York City,2015,8,5
CA-2015-110072,2015-10-22,2015-10-28,Standard Class,Newark,2015,10,22
CA-2015-110100,2015-04-25,2015-04-29,Standard Class,Wilmington,2015,4,25
CA-2015-110184,2015-07-12,2015-07-16,Standard Class,Los Angeles,2015,7,12
CA-2015-110219,2015-05-05,2015-05-08,First Class,San Antonio,2015,5,5
CA-2015-110352,2015-11-23,2015-11-29,Standard Class,Houston,2015,11,23
CA-2015-110408,2015-10-18,2015-10-20,Second Class,Montgomery,2015,10,18
CA-2015-110527,2015-08-09,2015-08-16,Standard Class,San Diego,2015,8,9
CA-2015-110555,2015-04-11,2015-04-18,Standard Class,Great Falls,2015,4,11
CA-2015-110611,2015-10-06,2015-10-13,Standard Class,Philadelphia,2015,10,6
CA-2015-110639,2015-08-23,2015-08-23,Same Day,New York City,2015,8,23
CA-2015-110786,2015-12-29,2016-01-02,Standard Class,San Francisco,2015,12,29
CA-2015-110849,2015-04-18,2015-04-23,Standard Class,Los Angeles,2015,4,18
CA-2015-111003,2015-06-01,2015-06-06,Standard Class,Lakewood,2015,6,1
CA-2015-111059,2015-02-03,2015-02-06,Second Class,Seattle,2015,2,3
CA-2015-111150,2015-12-31,2016-01-04,Standard Class,Columbia,2015,12,31
CA-2015-111192,2015-07-30,2015-08-05,Standard Class,Seattle,2015,7,30
CA-2015-111451,2015-12-26,2015-12-28,First Class,Colorado Springs,2015,12,26
CA-2015-111500,2015-08-17,2015-08-21,Standard Class,Little Rock,2015,8,17
CA-2015-111773,2015-06-29,2015-07-03,Standard Class,New York City,2015,6,29
CA-2015-111857,2015-04-23,2015-04-26,Second Class,San Francisco,2015,4,23
CA-2015-111871,2015-03-18,2015-03-21,Second Class,San Francisco,2015,3,18
CA-2015-111899,2015-05-04,2015-05-05,First Class,Houston,2015,5,4
CA-2015-111934,2015-05-05,2015-05-07,First Class,Arlington,2015,5,5
CA-2015-111962,2015-09-29,2015-10-04,Standard Class,Seattle,2015,9,29
CA-2015-112158,2015-12-02,2015-12-04,First Class,New York City,2015,12,2
CA-2015-112326,2015-01-04,2015-01-08,Standard Class,Naperville,2015,1,4
CA-2015-112403,2015-03-31,2015-03-31,Same Day,Philadelphia,2015,3,31
CA-2015-112718,2015-12-16,2015-12-21,Standard Class,Jacksonville,2015,12,16
CA-2015-112837,2015-09-11,2015-09-16,Standard Class,Oxnard,2015,9,11
CA-2015-112851,2015-09-17,2015-09-21,Standard Class,Chula Vista,2015,9,17
CA-2015-113047,2015-10-24,2015-10-24,Same Day,Rock Hill,2015,10,24
CA-2015-113166,2015-12-24,2015-12-26,First Class,Miami,2015,12,24
CA-2015-113271,2015-07-09,2015-07-14,Standard Class,San Francisco,2015,7,9
CA-2015-113320,2015-12-12,2015-12-15,Second Class,Oakland,2015,12,12
CA-2015-113362,2015-09-14,2015-09-19,Standard Class,Rochester,2015,9,14
CA-2015-113383,2015-09-10,2015-09-13,First Class,Clifton,2015,9,10
CA-2015-113579,2015-12-13,2015-12-15,Second Class,Los Angeles,2015,12,13
CA-2015-113768,2015-05-13,2015-05-19,Standard Class,Los Angeles,2015,5,13
CA-2015-113859,2015-09-13,2015-09-17,Standard Class,Odessa,2015,9,13
CA-2015-113880,2015-03-01,2015-03-05,Standard Class,Elmhurst,2015,3,1
CA-2015-113887,2015-04-05,2015-04-07,First Class,New York City,2015,4,5
CA-2015-113929,2015-06-16,2015-06-21,Standard Class,Hempstead,2015,6,16
CA-2015-113964,2015-09-23,2015-09-30,Standard Class,New York City,2015,9,23
CA-2015-114125,2015-07-09,2015-07-13,Standard Class,Los Angeles,2015,7,9
CA-2015-114181,2015-05-10,2015-05-14,Second Class,Philadelphia,2015,5,10
CA-2015-114251,2015-11-05,2015-11-10,Standard Class,Philadelphia,2015,11,5
CA-2015-114314,2015-10-11,2015-10-15,Standard Class,Fayetteville,2015,10,11
CA-2015-114321,2015-08-20,2015-08-25,Standard Class,Hampton,2015,8,20
CA-2015-114335,2015-09-28,2015-10-03,Standard Class,Hollywood,2015,9,28
CA-2015-114433,2015-05-13,2015-05-17,Standard Class,Oakland,2015,5,13
CA-2015-114510,2015-03-14,2015-03-19,Standard Class,Logan,2015,3,14
CA-2015-114517,2015-12-23,2015-12-27,Standard Class,New York City,2015,12,23
CA-2015-114643,2015-06-13,2015-06-17,Standard Class,Los Angeles,2015,6,13
CA-2015-114790,2015-03-11,2015-03-13,Second Class,Richmond,2015,3,11
CA-2015-115056,2015-05-02,2015-05-02,Same Day,Columbus,2015,5,2
CA-2015-115084,2015-10-18,2015-10-22,Standard Class,Texarkana,2015,10,18
CA-2015-115133,2015-09-26,2015-09-30,Standard Class,Lancaster,2015,9,26
CA-2015-115161,2015-01-31,2015-02-02,First Class,Mission Viejo,2015,1,31
CA-2015-115259,2015-08-25,2015-08-27,Second Class,Columbus,2015,8,25
CA-2015-115336,2015-11-18,2015-11-25,Standard Class,Chicago,2015,11,18
CA-2015-115357,2015-08-06,2015-08-11,Second Class,Columbia,2015,8,6
CA-2015-115791,2015-01-16,2015-01-18,Second Class,Philadelphia,2015,1,16
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,Los Angeles,2015,6,9
CA-2015-115889,2015-11-02,2015-11-06,Standard Class,San Francisco,2015,11,2
CA-2015-115973,2015-11-24,2015-11-26,First Class,Cincinnati,2015,11,24
CA-2015-115980,2015-07-15,2015-07-19,Standard Class,Sioux Falls,2015,7,15
CA-2015-116190,2015-07-26,2015-08-01,Standard Class,Atlanta,2015,7,26
CA-2015-116239,2015-03-04,2015-03-04,Same Day,Columbia,2015,3,4
CA-2015-116246,2015-09-12,2015-09-17,Second Class,New York City,2015,9,12
CA-2015-116407,2015-11-15,2015-11-21,Standard Class,Johnson City,2015,11,15
CA-2015-116568,2015-12-14,2015-12-20,Standard Class,Deltona,2015,12,14
CA-2015-116666,2015-05-08,2015-05-10,First Class,Philadelphia,2015,5,8
CA-2015-116673,2015-12-15,2015-12-19,Second Class,San Diego,2015,12,15
CA-2015-116757,2015-06-30,2015-07-04,Standard Class,Houston,2015,6,30
CA-2015-116785,2015-04-26,2015-04-30,Standard Class,Los Angeles,2015,4,26
CA-2015-116834,2015-10-11,2015-10-16,Standard Class,Seattle,2015,10,11
CA-2015-116904,2015-09-23,2015-09-28,Standard Class,Minneapolis,2015,9,23
CA-2015-116932,2015-07-21,2015-07-25,Standard Class,San Francisco,2015,7,21
CA-2015-117016,2015-03-04,2015-03-09,Standard Class,Margate,2015,3,4
CA-2015-117317,2015-10-19,2015-10-19,Same Day,Los Angeles,2015,10,19
CA-2015-117345,2015-08-01,2015-08-05,Standard Class,Charlotte,2015,8,1
CA-2015-117429,2015-10-07,2015-10-13,Standard Class,Philadelphia,2015,10,7
CA-2015-117464,2015-07-22,2015-07-24,Second Class,San Francisco,2015,7,22
CA-2015-117478,2015-09-21,2015-09-24,First Class,Philadelphia,2015,9,21
CA-2015-117639,2015-05-21,2015-05-25,Standard Class,Virginia Beach,2015,5,21
CA-2015-117709,2015-05-04,2015-05-08,Standard Class,Jackson,2015,5,4
CA-2015-117765,2015-09-07,2015-09-13,Standard Class,Tulsa,2015,9,7
CA-2015-118192,2015-01-13,2015-01-18,Standard Class,Newark,2015,1,13
CA-2015-118276,2015-12-29,2016-01-02,Standard Class,Saint Charles,2015,12,29
CA-2015-118304,2015-04-29,2015-05-04,Standard Class,Dover,2015,4,29
CA-2015-118339,2015-03-17,2015-03-24,Standard Class,Lakeville,2015,3,17
CA-2015-118962,2015-08-05,2015-08-09,Standard Class,Los Angeles,2015,8,5
CA-2015-118976,2015-04-28,2015-05-03,Standard Class,Baltimore,2015,4,28
CA-2015-119032,2015-11-27,2015-12-03,Standard Class,New York City,2015,11,27
CA-2015-119144,2015-11-16,2015-11-18,First Class,Los Angeles,2015,11,16
CA-2015-119151,2015-11-25,2015-11-29,Second Class,New York City,2015,11,25
CA-2015-119172,2015-05-11,2015-05-15,Standard Class,Chicago,2015,5,11
CA-2015-119375,2015-11-17,2015-11-22,Standard Class,Newark,2015,11,17
CA-2015-119466,2015-12-15,2015-12-21,Standard Class,Chicago,2015,12,15
CA-2015-119529,2015-11-03,2015-11-05,Second Class,Orange,2015,11,3
CA-2015-119977,2015-10-08,2015-10-13,Second Class,New York City,2015,10,8
CA-2015-120096,2015-07-04,2015-07-07,First Class,Aurora,2015,7,4
CA-2015-120243,2015-12-27,2015-12-30,Second Class,Los Angeles,2015,12,27
CA-2015-120278,2015-11-07,2015-11-12,Standard Class,Wausau,2015,11,7
CA-2015-120411,2015-09-20,2015-09-23,First Class,Chicago,2015,9,20
CA-2015-120432,2015-08-24,2015-08-26,Second Class,Owensboro,2015,8,24
CA-2015-120474,2015-12-01,2015-12-03,First Class,Madison,2015,12,1
CA-2015-120544,2015-11-23,2015-11-27,Standard Class,Mesquite,2015,11,23
CA-2015-120670,2015-11-02,2015-11-06,Standard Class,Fort Lauderdale,2015,11,2
CA-2015-120768,2015-12-19,2015-12-21,Second Class,Florence,2015,12,19
CA-2015-120775,2015-10-03,2015-10-07,Standard Class,Dallas,2015,10,3
CA-2015-120838,2015-03-23,2015-03-26,Second Class,Los Angeles,2015,3,23
CA-2015-120852,2015-12-20,2015-12-25,Standard Class,Grand Prairie,2015,12,20
CA-2015-120887,2015-09-27,2015-10-03,Standard Class,Hackensack,2015,9,27
CA-2015-121006,2015-11-10,2015-11-16,Standard Class,Midland,2015,11,10
CA-2015-121167,2015-11-28,2015-11-30,Second Class,Freeport,2015,11,28
CA-2015-121286,2015-11-04,2015-11-08,Second Class,Cary,2015,11,4
CA-2015-121573,2015-11-03,2015-11-07,Standard Class,New York City,2015,11,3
CA-2015-121629,2015-11-28,2015-12-02,Standard Class,Houston,2015,11,28
CA-2015-121664,2015-05-06,2015-05-10,Standard Class,Los Angeles,2015,5,6
CA-2015-121727,2015-08-19,2015-08-24,Standard Class,Columbus,2015,8,19
CA-2015-121762,2015-02-14,2015-02-18,Standard Class,Seattle,2015,2,14
CA-2015-121769,2015-04-08,2015-04-12,Standard Class,Toledo,2015,4,8
CA-2015-122070,2015-04-22,2015-04-24,Second Class,Troy,2015,4,22
CA-2015-122217,2015-11-24,2015-11-29,Standard Class,Virginia Beach,2015,11,24
CA-2015-122336,2015-04-13,2015-04-17,Second Class,Philadelphia,2015,4,13
CA-2015-122567,2015-02-16,2015-02-21,Standard Class,Dallas,2015,2,16
CA-2015-122588,2015-11-25,2015-11-27,Second Class,Woonsocket,2015,11,25
CA-2015-122679,2015-07-22,2015-07-28,Standard Class,Los Angeles,2015,7,22
CA-2015-122749,2015-12-03,2015-12-09,Standard Class,Oklahoma City,2015,12,3
CA-2015-122882,2015-09-07,2015-09-13,Standard Class,Philadelphia,2015,9,7
CA-2015-122931,2015-09-29,2015-10-03,Standard Class,Philadelphia,2015,9,29
CA-2015-123064,2015-06-30,2015-07-02,First Class,Chicago,2015,6,30
CA-2015-123127,2015-09-08,2015-09-12,Standard Class,Long Beach,2015,9,8
CA-2015-123225,2015-07-11,2015-07-14,First Class,El Paso,2015,7,11
CA-2015-123253,2015-08-22,2015-08-25,Second Class,Lakewood,2015,8,22
CA-2015-123260,2015-08-26,2015-08-30,Standard Class,Los Angeles,2015,8,26
CA-2015-123295,2015-07-18,2015-07-18,Same Day,Tucson,2015,7,18
CA-2015-123316,2015-10-13,2015-10-17,Standard Class,Mount Vernon,2015,10,13
CA-2015-123323,2015-11-07,2015-11-12,Standard Class,San Francisco,2015,11,7
CA-2015-123344,2015-09-24,2015-09-29,Standard Class,San Francisco,2015,9,24
CA-2015-123400,2015-02-02,2015-02-09,Standard Class,Saint Petersburg,2015,2,2
CA-2015-123477,2015-01-18,2015-01-21,Second Class,Springfield,2015,1,18
CA-2015-123498,2015-11-07,2015-11-09,First Class,Houston,2015,11,7
CA-2015-123855,2015-06-18,2015-06-23,Standard Class,Los Angeles,2015,6,18
CA-2015-123925,2015-12-17,2015-12-19,Second Class,Columbus,2015,12,17
CA-2015-124023,2015-04-07,2015-04-10,First Class,Mobile,2015,4,7
CA-2015-124079,2015-12-13,2015-12-17,Standard Class,Phoenix,2015,12,13
CA-2015-124247,2015-12-16,2015-12-21,Standard Class,Sacramento,2015,12,16
CA-2015-124394,2015-10-17,2015-10-22,Second Class,Beaumont,2015,10,17
CA-2015-124429,2015-05-27,2015-05-27,Same Day,San Diego,2015,5,27
CA-2015-124464,2015-07-14,2015-07-20,Standard Class,Newark,2015,7,14
CA-2015-124478,2015-08-08,2015-08-12,Standard Class,Trenton,2015,8,8
CA-2015-124513,2015-09-21,2015-09-25,Standard Class,New York City,2015,9,21
CA-2015-124618,2015-05-02,2015-05-04,Second Class,Lakeland,2015,5,2
CA-2015-124646,2015-06-22,2015-06-24,First Class,Minneapolis,2015,6,22
CA-2015-124688,2015-08-27,2015-08-29,First Class,Springfield,2015,8,27
CA-2015-124702,2015-11-18,2015-11-25,Standard Class,Seattle,2015,11,18
CA-2015-124709,2015-07-27,2015-07-29,Second Class,San Francisco,2015,7,27
CA-2015-124723,2015-08-05,2015-08-12,Standard Class,Texas City,2015,8,5
CA-2015-124730,2015-11-26,2015-11-26,Same Day,Utica,2015,11,26
CA-2015-124737,2015-08-23,2015-08-27,Standard Class,Denver,2015,8,23
CA-2015-124807,2015-07-12,2015-07-15,Second Class,Chicago,2015,7,12
CA-2015-124856,2015-09-29,2015-10-03,Second Class,New York City,2015,9,29
CA-2015-125136,2015-09-28,2015-10-03,Standard Class,Fayetteville,2015,9,28
CA-2015-125150,2015-05-16,2015-05-23,Standard Class,Los Angeles,2015,5,16
CA-2015-125171,2015-09-03,2015-09-03,Same Day,New York City,2015,9,3
CA-2015-125514,2015-09-21,2015-09-22,First Class,Omaha,2015,9,21
CA-2015-125542,2015-12-05,2015-12-07,First Class,Philadelphia,2015,12,5
CA-2015-125556,2015-11-14,2015-11-16,Second Class,Fairfield,2015,11,14
CA-2015-125612,2015-08-03,2015-08-08,Standard Class,New York City,2015,8,3
CA-2015-125682,2015-11-22,2015-11-25,First Class,Atlanta,2015,11,22
CA-2015-125731,2015-09-10,2015-09-16,Standard Class,Gresham,2015,9,10
CA-2015-125759,2015-02-08,2015-02-09,First Class,North Las Vegas,2015,2,8
CA-2015-125829,2015-11-04,2015-11-11,Standard Class,Los Angeles,2015,11,4
CA-2015-125997,2015-09-20,2015-09-23,First Class,New York City,2015,9,20
CA-2015-126032,2015-06-23,2015-06-28,Standard Class,Philadelphia,2015,6,23
CA-2015-126193,2015-09-07,2015-09-14,Standard Class,Oswego,2015,9,7
CA-2015-126200,2015-08-25,2015-08-29,Standard Class,Houston,2015,8,25
CA-2015-126277,2015-09-13,2015-09-18,Second Class,Columbus,2015,9,13
CA-2015-126333,2015-12-23,2015-12-28,Standard Class,Port Arthur,2015,12,23
CA-2015-126361,2015-08-04,2015-08-09,Second Class,Pleasant Grove,2015,8,4
CA-2015-126403,2015-09-09,2015-09-12,Second Class,Lowell,2015,9,9
CA-2015-126480,2015-09-20,2015-09-24,Standard Class,San Diego,2015,9,20
CA-2015-126522,2015-09-01,2015-09-05,Second Class,Escondido,2015,9,1
CA-2015-126683,2015-09-29,2015-10-01,Second Class,Seattle,2015,9,29
CA-2015-126760,2015-07-26,2015-08-02,Standard Class,North Las Vegas,2015,7,26
CA-2015-126802,2015-12-29,2016-01-05,Standard Class,Chicago,2015,12,29
CA-2015-126907,2015-11-01,2015-11-08,Standard Class,Chicago,2015,11,1
CA-2015-126963,2015-06-15,2015-06-15,Same Day,El Paso,2015,6,15
CA-2015-127012,2015-08-11,2015-08-15,Standard Class,Seattle,2015,8,11
CA-2015-127131,2015-11-24,2015-11-30,Standard Class,Seattle,2015,11,24
CA-2015-127159,2015-05-12,2015-05-15,First Class,Milwaukee,2015,5,12
CA-2015-127166,2015-05-21,2015-05-23,Second Class,Houston,2015,5,21
CA-2015-127187,2015-12-04,2015-12-08,Standard Class,New York City,2015,12,4
CA-2015-127299,2015-09-19,2015-09-24,Standard Class,Charlotte,2015,9,19
CA-2015-127383,2015-12-31,2016-01-05,Standard Class,El Paso,2015,12,31
CA-2015-127446,2015-11-25,2015-11-30,Standard Class,Arlington,2015,11,25
CA-2015-127488,2015-09-22,2015-09-24,Second Class,Boca Raton,2015,9,22
CA-2015-127523,2015-05-11,2015-05-18,Standard Class,Watertown,2015,5,11
CA-2015-127558,2015-11-15,2015-11-18,First Class,Los Angeles,2015,11,15
CA-2015-127586,2015-09-26,2015-09-30,Standard Class,Seattle,2015,9,26
CA-2015-127614,2015-02-11,2015-02-15,Standard Class,Chesapeake,2015,2,11
CA-2015-127691,2015-07-22,2015-07-27,Standard Class,New York City,2015,7,22
CA-2015-127859,2015-03-17,2015-03-20,Second Class,Philadelphia,2015,3,17
CA-2015-127866,2015-07-20,2015-07-23,First Class,Riverside,2015,7,20
CA-2015-127936,2015-09-02,2015-09-04,First Class,New York City,2015,9,2
